|texto|sentimiento|categoria
0|Excelente atención y muy buena disposición en el servicio. Recomendado.|1|1
1|Los productos son de alta calidad y siempre llegan a tiempo. Muy satisfecho.|1|1
2|Me encanta el diseño y la funcionalidad de la aplicación. Es intuitiva y fácil de usar.|1|1
3|Estoy muy contento con el producto, superó mis expectativas en todos los sentidos.|1|1
4|El servicio postventa fue excelente, resolvieron mi problema de inmediato.|1|1
5|Muy mala experiencia con la compra, el producto llegó en mal estado.|0|1
6|El servicio al cliente fue poco profesional y no resolvieron mis problemas.|0|1
7|Me siento decepcionado, la calidad no es como la prometen en la publicidad.|0|1
8|Tardaron demasiado en responder y no solucionaron mi inconveniente.|0|1
9|No recomendaría este servicio, tuve problemas desde el principio.|0|1
10|La exposición de arte fue increíble, muy bien organizada y con grandes obras.|1|2
11|El evento cultural superó mis expectativas, hubo mucho talento en cada presentación.|1|2
12|El museo cuenta con exhibiciones interactivas y muy educativas. Ideal para la familia.|1|2
13|La programación del festival fue variada y atractiva, disfruté cada actividad.|1|2
14|Asistir al concierto fue una experiencia única, la música y el ambiente fueron excelentes.|1|2
15|El evento cultural fue una decepción, estuvo mal organizado y el audio fue terrible.|0|2
16|La exposición no fue interesante, muy pocas piezas y mala distribución.|0|2
17|El museo no tiene muchas actividades y es bastante aburrido.|0|2
18|No disfruté el festival, la programación fue monótona y poco atractiva.|0|2
19|La calidad de las presentaciones fue baja, esperaba mucho más.|0|2
20|El nuevo programa educativo es excelente, los estudiantes están motivados.|1|3
21|Las clases interactivas han aumentado el interés de los alumnos en aprender.|1|3
22|La plataforma educativa es muy completa y fácil de usar.|1|3
23|Las actividades extracurriculares complementan muy bien la educación formal.|1|3
24|El colegio ha mejorado sus instalaciones, es un ambiente cómodo y moderno.|1|3
25|Las instalaciones de la escuela están en pésimas condiciones, requieren mantenimiento urgente.|0|3
26|Falta de recursos en el colegio afecta la calidad de la educación.|0|3
27|La plataforma educativa es lenta y difícil de navegar.|0|3
28|Los estudiantes no reciben suficiente apoyo en sus estudios.|0|3
29|El material de estudio está desactualizado y es poco útil.|0|3
30|Me encantó el servicio que recibí, realmente excelente.|1|1
31|El producto superó mis expectativas, muy recomendado.|1|1
32|Todo el proceso de compra fue rápido y eficiente.|1|1
33|El equipo de atención al cliente fue muy amable.|1|1
34|La entrega fue puntual y el producto llegó en buen estado.|1|1
35|El servicio al cliente fue pésimo y no resolvió mi problema.|0|1
36|No estoy satisfecho con la calidad del producto.|0|1
37|El proceso de compra fue confuso y lento.|0|1
38|La entrega tardó mucho más de lo esperado.|0|1
39|El producto llegó dañado y no cumplen con el reemplazo.|0|1
40|La exposición de arte fue inspiradora y bien organizada.|1|2
41|El museo cuenta con una colección impresionante.|1|2
42|El evento cultural fue enriquecedor y entretenido.|1|2
43|La obra de teatro superó todas mis expectativas.|1|2
44|La feria cultural mostró una gran diversidad de tradiciones.|1|2
45|La exposición estaba desordenada y sin organización.|0|2
46|El museo estaba vacío y sin actividades interesantes.|0|2
47|El evento cultural fue aburrido y sin nada especial.|0|2
48|La obra de teatro careció de emoción y profesionalismo.|0|2
49|La feria cultural fue decepcionante y sin variedad.|0|2
50|El curso en línea fue muy completo y bien estructurado.|1|3
51|Los profesores están muy capacitados y comprometidos.|1|3
52|La plataforma educativa es fácil de usar y completa.|1|3
53|Las clases en línea me ayudaron a mejorar mis habilidades.|1|3
54|El ambiente de aprendizaje es muy estimulante.|1|3
55|El curso en línea fue confuso y mal estructurado.|0|3
56|Los profesores no respondieron mis dudas.|0|3
57|La plataforma educativa es difícil de navegar.|0|3
58|Las clases en línea no cumplieron mis expectativas.|0|3
59|El ambiente de aprendizaje es desmotivador.|0|3
60|La experiencia en este restaurante fue realmente excepcional, el ambiente acogedor y la comida deliciosa hicieron de nuestra velada una ocasión especial.|1|1
61|Estoy muy satisfecho con el servicio al cliente de esta empresa, resolvieron todas mis dudas con rapidez y amabilidad, es difícil encontrar atención así.|1|1
62|La última actualización de la aplicación ha mejorado muchísimo su rendimiento, ahora es rápida, intuitiva y muy fácil de usar, la recomiendo totalmente.|1|1
63|La calidad de los productos que compré superó mis expectativas, no solo son duraderos sino también estéticamente agradables, una compra excelente.|1|1
64|La película que vi el fin de semana fue impresionante, la trama estaba bien desarrollada y los efectos visuales eran espectaculares, me dejó sin palabras.|1|1
65|Lamentablemente, la atención en el restaurante dejó mucho que desear, el servicio fue lento y la comida llegó fría, no pienso regresar.|0|1
66|Tuve una experiencia bastante negativa con el servicio técnico, no lograron solucionar mi problema y solo generaron más confusión.|0|1
67|El producto que adquirí se dañó al poco tiempo de uso y el servicio postventa no me brindó ninguna solución, muy decepcionante.|0|1
68|La aplicación es extremadamente lenta y difícil de navegar, cada vez que la uso siento que pierdo más tiempo del que ahorro.|0|1
69|La película que vi fue una pérdida de tiempo, el guion era predecible y las actuaciones nada convincentes, no la recomiendo.|0|1
70|La exposición de arte moderno en el museo fue maravillosa, cada obra estaba llena de vida y creatividad, un deleite para los amantes del arte.|1|2
71|El concierto de la orquesta sinfónica fue una experiencia impresionante, cada pieza interpretada con una pasión que llegaba al alma, lo disfruté mucho.|1|2
72|La festividad cultural de este año fue realmente asombrosa, las tradiciones, bailes y muestras gastronómicas representaron fielmente nuestra herencia.|1|2
73|El documental que vi sobre las antiguas civilizaciones fue fascinante, muy bien investigado y con imágenes impactantes, muy recomendable.|1|2
74|La visita guiada al sitio arqueológico fue educativa y emocionante, el guía explicaba cada detalle con gran entusiasmo y conocimiento.|1|2
75|El festival cultural de este año fue bastante decepcionante, la organización fue deficiente y las actividades parecían improvisadas.|0|2
76|Visité el museo pero muchas de las exhibiciones estaban cerradas, lo cual fue frustrante, especialmente después de pagar la entrada completa.|0|2
77|La obra de teatro no fue lo que esperaba, el guion carecía de cohesión y las actuaciones no lograron conectar con el público.|0|2
78|El concierto fue una experiencia incómoda debido al mal sonido, apenas se podían entender las letras de las canciones.|0|2
79|La exposición de arte contemporáneo no fue de mi gusto, parecía falta de creatividad y sin un tema claro, me dejó insatisfecho.|0|2
80|La nueva metodología de enseñanza ha logrado que los estudiantes participen más y disfruten del proceso de aprendizaje, es un cambio notable.|1|3
81|Estoy impresionado con la calidad de los recursos educativos disponibles en línea, hacen que el aprendizaje sea accesible y práctico.|1|3
82|La universidad ha implementado programas de tutoría que han sido muy útiles para los alumnos, han ayudado mucho en su desarrollo académico.|1|3
83|La conferencia educativa a la que asistí fue inspiradora, los ponentes eran expertos en su área y brindaron conocimientos muy valiosos.|1|3
84|La escuela ha realizado mejoras en sus instalaciones y se nota que los estudiantes están más cómodos y enfocados en sus estudios.|1|3
85|El material educativo está desactualizado y no refleja los avances recientes en la materia, los estudiantes no están aprendiendo lo necesario.|0|3
86|La plataforma de aprendizaje en línea es confusa y difícil de usar, paso más tiempo tratando de entenderla que aprendiendo realmente.|0|3
87|Los recursos para la clase son limitados y muchas veces no están disponibles cuando los necesitamos, lo que afecta el proceso de aprendizaje.|0|3
88|El nivel de los profesores en algunos cursos deja mucho que desear, no están preparados para enseñar y eso se refleja en el desempeño de los alumnos.|0|3
89|Las condiciones de la escuela son bastante deficientes, hay falta de infraestructura adecuada para llevar a cabo las clases correctamente.|0|3
90|"La experiencia en este restaurante fue realmente excepcional, un verdadero mosaico de sabores que deleitó cada sentido; el ambiente acogedor y los victuals deliciosos orquestaron una velada inolvidable."""|1|1
91|"Estoy muy satisfecho con el servicio al cliente de esta empresa; los empleados se encargaron de cada detalle con amabilidad y rapidez, reimaginando lo que uno espera de una atención al cliente."""|1|1
92|La última actualización de la aplicación fue un éxito, repleta de mejoras que la hicieron más rápida y fácil de navegar, facilitando una experiencia verdaderamente enriquecedora|1|1
